,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,67.33,12.4,98.95,47.95,73.71,22.22,285.01,2165.49
1,1,1,Small Forehead,65.56,9.75,98.92,33.0,55.8,16.67,121.79,1184.08
2,1,2,Cheeks and Nose,69.1,9.75,99.13,34.79,22.27,22.22,100.14,289.88
3,1,3,Left Cheek,69.1,23.92,99.21,26.94,46.8,11.11,203.09,406.27
4,1,4,Right Cheek,68.22,21.26,99.27,35.0,23.97,12.5,18.49,81.36
5,1,5,Crop Face,68.22,9.75,99.04,50.41,31.88,55.56,87.77,239.14
6,2,0,Big Forehead,71.76,10.63,99.08,29.1,24.35,11.11,155.86,390.87
7,2,1,Small Forehead,74.42,9.75,99.03,38.54,49.67,9.09,51.88,480.95
8,2,2,Cheeks and Nose,71.76,9.75,99.33,15.56,34.08,0.0,48.52,364.32
9,2,3,Left Cheek,70.88,17.72,99.28,34.79,35.47,11.11,201.3,246.18
10,2,4,Right Cheek,69.99,9.75,99.33,19.05,23.07,0.0,105.35,393.57
11,2,5,Crop Face,70.88,9.75,99.25,15.56,41.3,0.0,279.02,251.28
12,3,0,Big Forehead,74.42,19.49,99.09,51.12,29.85,50.0,38.77,180.77
13,3,1,Small Forehead,72.65,23.92,99.06,41.74,51.32,30.0,383.6,543.56
14,3,2,Cheeks and Nose,73.53,22.15,99.21,36.15,39.05,20.0,338.14,167.22
15,3,3,Left Cheek,75.31,22.15,99.31,44.27,37.23,30.0,64.51,1001.3
16,3,4,Right Cheek,74.42,19.49,99.39,33.0,22.69,10.0,82.71,411.94
17,3,5,Crop Face,74.42,20.38,99.16,36.15,43.82,20.0,694.36,1090.3
18,4,0,Big Forehead,75.31,9.75,98.93,39.05,49.55,30.0,586.2,860.76
19,4,1,Small Forehead,74.42,9.75,99.04,51.7,32.87,54.55,82.44,83.14
20,4,2,Cheeks and Nose,74.42,9.75,99.11,27.61,30.83,0.0,262.76,170.54
21,4,3,Left Cheek,73.53,9.75,99.14,124.35,76.54,66.67,766.68,399.51
22,4,4,Right Cheek,74.42,9.75,99.31,59.24,41.3,22.22,149.56,128.29
23,4,5,Crop Face,74.42,9.75,99.06,36.15,32.39,20.0,19.7,252.75
24,5,0,Big Forehead,79.74,18.61,99.1,36.15,38.54,20.0,227.19,264.08
25,5,1,Small Forehead,79.74,9.75,99.07,29.85,76.37,9.09,861.95,1255.15
26,5,2,Cheeks and Nose,77.96,9.75,99.3,20.87,13.35,0.0,28.86,39.42
27,5,3,Left Cheek,77.96,9.75,99.24,18.07,50.73,0.0,168.58,427.79
28,5,4,Right Cheek,77.08,16.83,99.41,41.74,49.55,30.0,407.3,437.02
29,5,5,Crop Face,77.96,16.83,99.27,36.15,39.05,20.0,480.1,527.01
30,6,0,Big Forehead,78.85,23.92,98.99,31.31,31.15,10.0,123.08,67.82
31,6,1,Small Forehead,77.08,15.95,99.13,36.9,53.24,25.0,549.23,1020.49
32,6,2,Cheeks and Nose,77.96,9.75,99.26,24.6,17.04,0.0,6.82,141.08
33,6,3,Left Cheek,77.08,17.72,99.22,29.1,23.07,11.11,112.49,448.68
34,6,4,Right Cheek,77.96,9.75,99.35,15.56,18.73,0.0,41.25,104.24
35,6,5,Crop Face,77.96,9.75,99.26,31.31,27.43,10.0,173.66,57.56
